user_login,user_email,first_name,last_name,user_pass,wp_role,learndash_courses,learndash_groups,display_name
aflinch,aflinch@mymail.com,Adrian,Flinch,4rV4Z1lQ9Jeg,subscriber,1;2;3,1;2;3,Adrian Flinch
asmith,asmith@mymail.com,Alan,Smith,c7NA1gZId6GP,subscriber,1;2;3,1;2;3,Alan Smith
aconnelly,aconnelly@mymail.com,Alex,Connelly,2V2bdbYFG42t,subscriber,1;2;3,1;2;3,Alex Connelly
abarnes,abarnes@mymail.com,Ally,Barnes,56cS9SK6HFdU,subscriber,1;2;3,1;2;3,Ally Barnes
acook,acook@mymail.com,Alice,Cook,68cflpn9WbTW,subscriber,1;2;3,1;2;3,Alice Cook
awu,awu@mymail.com,Amber,Wu,91GDgBmLbJ3t,subscriber,1;2;3,1;2;3,Amber Wu
acooper,acooper@mymail.com,Andy,Cooper,p468Dg9OxrOP,subscriber,1;2;3,1;2;3,Andy Cooper
amiller,amiller@mymail.com,Anne,Miller,wDVb15B2RLHC,subscriber,1;2;3,1;2;3,Anne Miller
aryans,aryans@mymail.com,Annie,Ryans,7vAFQUz0fSV8,subscriber,1;2;3,1;2;3,Annie Ryans
ajones,ajones@mymail.com,Arthur,Jones,89PQLDxDBU7K,subscriber,1;2;3,1;2;3,Arthur Jones
